Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget),Total budget authority,,,
2009,"4,977","6,787","127,826","25,713","667,557","131,891","68,557","851,721","46,001","61,810","14,817","32,661","152,821","27,164","112,344","896,975","96,929","16,587","57,482","14,754",374,"6,290","34,651","18,777","9,579","74,439","2,564","78,406","654,799","49,837","6,578",..........,"-274,193","-142,013","-132,180","4,077,475",,,
2010,"4,893","7,214","130,983","13,679","695,646","62,911","23,026","889,608","45,423","45,075","12,843","30,171","179,228","30,285","84,342","392,169","124,305","5,665","54,786","10,165",432,261,"28,127","18,719","6,963","72,434","6,472","70,198","683,908","17,855","4,700",..........,"-267,886","-134,448","-133,438","3,484,600",,,
2011,"4,737","7,205","140,677","5,704","691,471","43,628","22,648","889,186","41,648","48,528","12,279","29,184","130,168","26,879","70,512","494,153","122,798","4,854","51,073","8,565",385,"-1,009","25,564","18,432","6,910","79,435","5,454","154,714","629,821","19,760",996,..........,"-276,478","-145,398","-131,080","3,509,881",,,
2012,"4,542","7,240","151,789","7,978","655,397","57,458","22,721","874,458","45,911","40,115","11,486","31,412","105,366","30,122","70,114","442,633","124,030","6,763","81,067","10,785",384,-977,"63,185","17,773","7,159","83,630","2,724","188,759","637,241","23,324","2,255",..........,"-230,682","-102,697","-127,985","3,576,162",,,
2013,"4,258","6,926","154,924","7,959","585,239","39,495","21,221","873,330","61,873","68,969","11,761","28,106","82,267","29,584","82,816","440,900","135,984","9,716","57,553","8,413",365,"-1,255","10,775","16,868","6,997","86,973",952,"109,001","760,588","25,258",..........,..........,"-249,450","-127,632","-121,818","3,478,366",,,
2014,"4,462","7,284","157,510","10,113","595,723","55,200","22,174","960,955","44,146","42,676","11,898","32,753","55,782","28,586","71,311","442,972","165,657","5,612","57,514","9,124",378,"1,932","27,987","17,644","7,296","89,745",139,"83,745","828,419","26,409",-3,..........,"-246,158","-130,155","-116,003","3,618,985",,,
2015,"4,506","7,404","142,471","13,817","570,843","87,258","25,393","1,045,165","45,269","44,115","12,538","29,371","45,953","29,118","71,898","485,987","160,466","5,477","62,584","7,846","3,508",-481,"32,730","18,009","7,485","92,356",-734,"89,340","861,067","29,533",..........,..........,"-257,594","-145,618","-111,976","3,772,698",,,
2016,"4,570","7,596","168,801","10,351","595,715","76,977","27,335","1,119,006","46,021","48,843","13,969","32,114","46,991","29,828","75,727","519,865","163,330","6,042","60,139","8,208",396,555,"20,768","19,280","7,597","93,745",-512,"95,342","887,610","27,821",264,..........,"-241,362","-133,851","-107,511","3,972,932",,,
2017,"4,686","7,760","136,547","9,486","626,230","114,844","27,501","1,144,013","62,277","60,734","13,888","37,048","44,850","31,512","78,251","548,859","178,777","7,089","58,655","8,186",432,"-1,291","34,263","19,834","7,605","98,668",731,"92,739","908,763","27,482",270,..........,"-236,880","-132,869","-104,011","4,153,809",,,
2018,"4,981","7,908","142,537","18,269","694,525","72,114","31,454","1,176,362","102,988","81,310","14,985","36,606","43,208","29,927","88,063","633,499","191,825","24,220","60,054","8,825",412,-535,"48,982","20,816","7,937","101,568",751,"86,248","953,903","29,757",260,..........,"-248,020","-146,018","-102,002","4,465,739",,,
2019 estimate,"5,070","7,981","160,739","12,370","693,071","107,974","33,671","1,273,901","53,372","53,026","13,030","34,329","41,673","29,840","87,655","708,738","194,414","6,933","62,204","8,704",419,-766,"43,919","20,732","7,881","104,082",-32,"94,160","1,016,215","31,507",260,-740,"-245,820","-145,037","-100,783","4,660,512",,,
2020 estimate,"5,527","8,529","123,039","12,468","728,016","73,509","24,100","1,292,353","69,200","43,226","14,050","32,632","41,852","21,695","76,062","789,553","216,151","4,778","63,079","5,954",405,"118,999","30,428","21,015","7,227",..........,663,"97,430","1,072,887","29,176",267,"177,848","-257,788","-157,975","-99,813","4,944,330",,,
2021 estimate,"5,554","8,608","118,009","8,160","723,817","72,892","26,582","1,288,791","57,330","43,249","13,860","33,810","43,435","21,715","83,930","855,636","233,638","4,759","64,965","6,179",413,"112,440","30,317","21,015","7,198",..........,667,"100,943","1,133,014","26,953",267,"12,557","-252,018","-152,670","-99,348","4,908,685",,,
2022 estimate,"5,555","8,630","119,250","7,658","737,232","70,064","28,781","1,367,335","58,185","43,273","14,552","33,918","45,734","21,736","83,941","926,191","244,723","4,637","66,959","6,179",413,"117,397","28,001","21,015","7,200",..........,667,"112,179","1,198,002","34,411",267,"-13,053","-259,533","-162,029","-97,504","5,141,499",,,
2023 estimate,"5,557","8,647","120,637","7,545","751,674","67,018","28,255","1,409,212","59,806","43,293","13,808","34,002","48,148","21,757","83,951","986,229","253,830","4,761","68,836","6,180",413,"120,933","27,261","21,015","7,202",..........,667,"113,763","1,267,352","37,393",267,"-24,146","-261,152","-164,447","-96,705","5,334,114",,,
2024 estimate,"5,556","8,664","121,231","7,464","756,927","64,471","28,045","1,427,955","61,250","43,327","13,504","34,115","50,163","21,779","83,962","1,032,863","263,075","4,762","70,974","6,181",413,"125,605","28,159","21,015","7,203",..........,667,"115,246","1,340,624","40,207",267,"-35,973","-266,830","-171,567","-95,263","5,482,871",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
