Years,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,Executive Office of the President,General Services Administration,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Small Business Administration,Social Security Administration (On-Budget),Social Security Administration (Off-Budget),Other Independent Agencies (On-Budget),Other Independent Agencies (Off-Budget),Allowances,Undistributed Offsetting Receipts,(On-budget),(Off-budget), Total budget authority,* 0.05 percent or less,,,,
2003,0.2,0.2,3.5,0.3,19.4,2.8,0.9,22.7,1.4,1.5,0.5,1.0,3.0,0.5,2.4,16.3,2.6,0.2,1.8,0.3,0.1,0.1,0.8,0.7,0.2,2.5,0.1,2.0,20.4,0.6,0.2,..........,-9.3,-5.2,-4.1,100.0,,,,,
2004,0.2,0.2,3.9,0.2,19.6,2.8,0.9,23.1,1.3,1.5,0.4,1.2,2.4,0.5,2.5,15.7,2.5,0.2,1.7,0.3,0.8,*,0.6,0.6,0.2,2.5,0.2,2.1,20.0,0.6,0.1,..........,-8.8,-4.8,-4.1,100.0,,,,,
2005,0.2,0.2,3.7,0.3,18.7,2.9,0.8,22.9,3.9,1.4,0.4,0.8,1.8,0.6,2.5,15.9,2.7,0.2,1.7,0.3,*,*,0.7,0.6,0.2,2.4,0.1,2.1,19.9,0.6,*,..........,-8.8,-4.8,-4.0,100.0,,,,,
2006,0.2,0.2,3.5,0.2,19.2,3.6,0.8,24.6,1.2,1.9,0.4,0.8,1.7,0.6,2.3,16.8,2.6,0.4,1.6,0.3,*,*,0.7,0.6,0.2,2.4,0.1,1.9,19.3,0.6,0.1,..........,-8.5,-4.6,-3.9,100.0,,,,,
2007,0.1,0.2,3.2,0.3,21.1,2.4,0.8,23.0,1.4,1.2,0.4,0.9,1.7,0.6,2.3,17.2,2.8,0.2,1.6,0.3,*,*,1.8,0.6,0.2,2.2,*,2.0,19.9,0.5,0.3,..........,-9.1,-5.0,-4.1,100.0,,,,,
2008,0.1,0.2,2.8,0.3,20.3,2.0,0.7,21.7,1.5,1.5,0.3,0.8,1.7,0.7,2.0,22.6,2.7,0.3,1.4,0.2,*,*,0.7,0.5,0.2,2.0,*,1.8,18.1,1.0,0.3,..........,-8.4,-4.5,-3.8,100.0,,,,,
2009,0.1,0.2,3.1,0.6,16.4,3.2,1.7,20.9,1.1,1.5,0.4,0.8,3.7,0.7,2.8,22.0,2.4,0.4,1.4,0.4,*,0.2,0.8,0.5,0.2,1.8,0.1,1.9,16.1,1.2,0.2,..........,-6.7,-3.5,-3.2,100.0,,,,,
2010,0.1,0.2,3.8,0.4,20.0,1.8,0.7,25.5,1.3,1.3,0.4,0.9,5.1,0.9,2.4,11.3,3.6,0.2,1.6,0.3,*,*,0.8,0.5,0.2,2.1,0.2,2.0,19.6,0.5,0.1,..........,-7.7,-3.9,-3.8,100.0,,,,,
2011,0.1,0.2,4.0,0.2,19.7,1.2,0.6,25.3,1.2,1.4,0.3,0.8,3.7,0.8,2.0,14.1,3.5,0.1,1.5,0.2,*,-*,0.7,0.5,0.2,2.3,0.2,4.4,17.9,0.6,*,..........,-7.9,-4.1,-3.7,100.0,,,,,
2012,0.1,0.2,4.2,0.2,18.3,1.6,0.6,24.5,1.3,1.1,0.3,0.9,2.9,0.8,2.0,12.4,3.5,0.2,2.3,0.3,*,-*,1.8,0.5,0.2,2.3,0.1,5.3,17.8,0.7,0.1,..........,-6.5,-2.9,-3.6,100.0,,,,,
2013,0.1,0.2,4.5,0.2,16.8,1.1,0.6,25.1,1.8,2.0,0.3,0.8,2.4,0.9,2.4,12.7,3.9,0.3,1.7,0.2,*,-*,0.3,0.5,0.2,2.5,*,3.1,21.9,0.7,..........,..........,-7.2,-3.7,-3.5,100.0,,,,,
2014,0.1,0.2,4.4,0.3,16.5,1.5,0.6,26.6,1.2,1.2,0.3,0.9,1.5,0.8,2.0,12.2,4.6,0.2,1.6,0.3,*,0.1,0.8,0.5,0.2,2.5,*,2.3,22.9,0.7,-*,..........,-6.8,-3.6,-3.2,100.0,,,,,
2015,0.1,0.2,3.8,0.4,15.1,2.3,0.7,27.7,1.2,1.2,0.3,0.8,1.2,0.8,1.9,12.9,4.3,0.1,1.7,0.2,0.1,-*,0.9,0.5,0.2,2.4,-*,2.4,22.8,0.8,..........,..........,-6.8,-3.9,-3.0,100.0,,,,,
2016,0.1,0.2,4.2,0.3,15.0,1.9,0.7,28.2,1.2,1.2,0.4,0.8,1.2,0.8,1.9,13.1,4.1,0.2,1.5,0.2,*,*,0.5,0.5,0.2,2.4,-*,2.4,22.3,0.7,*,..........,-6.1,-3.4,-2.7,100.0,,,,,
2017,0.1,0.2,3.3,0.2,15.1,2.8,0.7,27.5,1.5,1.5,0.3,0.9,1.1,0.8,1.9,13.2,4.3,0.2,1.4,0.2,*,-*,0.8,0.5,0.2,2.4,*,2.2,21.9,0.7,*,..........,-5.7,-3.2,-2.5,100.0,,,,,
2018,0.1,0.2,3.2,0.4,15.6,1.6,0.7,26.3,2.3,1.8,0.3,0.8,1.0,0.7,2.0,14.2,4.3,0.5,1.3,0.2,*,-*,1.1,0.5,0.2,2.3,*,1.9,21.4,0.7,*,..........,-5.6,-3.3,-2.3,100.0,,,,,
2019 estimate,0.1,0.2,3.4,0.3,14.9,2.3,0.7,27.3,1.1,1.1,0.3,0.7,0.9,0.6,1.9,15.2,4.2,0.1,1.3,0.2,*,-*,0.9,0.4,0.2,2.2,-*,2.0,21.8,0.7,*,-*,-5.3,-3.1,-2.2,100.0,,,,,
2020 estimate,0.1,0.2,2.5,0.3,14.7,1.5,0.5,26.1,1.4,0.9,0.3,0.7,0.8,0.4,1.5,16.0,4.4,0.1,1.3,0.1,*,2.4,0.6,0.4,0.1,..........,*,2.0,21.7,0.6,*,3.6,-5.2,-3.2,-2.0,100.0,,,,,
2021 estimate,0.1,0.2,2.4,0.2,14.7,1.5,0.5,26.3,1.2,0.9,0.3,0.7,0.9,0.4,1.7,17.4,4.8,0.1,1.3,0.1,*,2.3,0.6,0.4,0.1,..........,*,2.1,23.1,0.5,*,0.3,-5.1,-3.1,-2.0,100.0,,,,,
2022 estimate,0.1,0.2,2.3,0.1,14.3,1.4,0.6,26.6,1.1,0.8,0.3,0.7,0.9,0.4,1.6,18.0,4.8,0.1,1.3,0.1,*,2.3,0.5,0.4,0.1,..........,*,2.2,23.3,0.7,*,-0.3,-5.0,-3.2,-1.9,100.0,,,,,
2023 estimate,0.1,0.2,2.3,0.1,14.1,1.3,0.5,26.4,1.1,0.8,0.3,0.6,0.9,0.4,1.6,18.5,4.8,0.1,1.3,0.1,*,2.3,0.5,0.4,0.1,..........,*,2.1,23.8,0.7,*,-0.5,-4.9,-3.1,-1.8,100.0,,,,,
2024 estimate,0.1,0.2,2.2,0.1,13.8,1.2,0.5,26.0,1.1,0.8,0.2,0.6,0.9,0.4,1.5,18.8,4.8,0.1,1.3,0.1,*,2.3,0.5,0.4,0.1,..........,*,2.1,24.5,0.7,*,-0.7,-4.9,-3.1,-1.7,100.0,,,,,
